id|asset_id|data|
1|33|{"density": 28278.0, "category": "Office", "latitude": 41.31830041, "zip_code": 82071.0, "long_name": "Wyoming Technology Business Center", "longitude": -105.569558, "repl_cost": 11400559.17, "gross_area": 31793.0, "shape_area": 1174.511658, "short_name": "WTBC", "year_built": 2006.0, "floor_count": 3, "usable_area": 28278.0, "shape_length": 197.9563228, "condition_key": 0, "percent_usable": 80.44, "percent_assignable": 50.07, "improvement_acquired": 0}
2|34|{"density": 9248.2, "category": "Office/Research", "latitude": 41.31476252, "zip_code": 82071.0, "long_name": "Bureau of Mines", "longitude": -105.5848036, "repl_cost": 16071857.03, "gross_area": 77916.0, "shape_area": 1669.722733, "short_name": "Mines", "year_built": 1945.0, "floor_count": 4, "usable_area": 46241.0, "shape_length": 300.7764765, "condition_key": 1, "bldg_additions": "1984", "percent_usable": 84.04, "years_remodeled": "1984", "percent_assignable": 56.2, "improvement_acquired": 0}
3|35|{"density": 969.5, "category": "Greenhouse/Office", "latitude": 41.31264453, "zip_code": 82071.0, "long_name": "Williams Conservatory", "longitude": -105.5847871, "repl_cost": 1544300.0, "gross_area": 15443.0, "shape_area": 514.2049561, "short_name": "Conservatory", "year_built": 1993.0, "floor_count": 2, "usable_area": 7756.0, "shape_length": 121.8684976, "condition_key": 0, "percent_usable": 80.5, "percent_assignable": 61.08, "improvement_acquired": 0}
4|36|{"density": 0.0, "category": "Classroom/Office/Laboratory", "latitude": 41.3143178, "zip_code": 82071.0, "long_name": "Visual Arts", "longitude": -105.5656741, "repl_cost": 26160661.98, "gross_area": 95723.0, "shape_area": 4988.469559, "short_name": "Visual Arts", "year_built": 2011.0, "floor_count": 0, "usable_area": 74128.0, "shape_length": 479.6176339, "condition_key": 0, "improvement_acquired": 0}
5|37|{"density": 0.0, "category": "Food Facility/Merchandising/Meeting Rooms", "latitude": 41.31233151, "zip_code": 82071.0, "long_name": "Wyoming Union", "longitude": -105.5794131, "repl_cost": 32958917.42, "gross_area": 162148.0, "shape_area": 4669.504639, "short_name": "Wyoming Union", "year_built": 1939.0, "floor_count": 6, "usable_area": 119584.79, "shape_length": 417.5956576, "condition_key": 1, "bldg_additions": "1959, 1972, 2002", "percent_usable": 87.6, "years_remodeled": "1959, 1972, 2002", "percent_assignable": 52.14, "improvement_acquired": 0}
6|38|{"density": 0.0, "category": "Office/Shop", "latitude": 41.3151716, "zip_code": 82071.0, "long_name": "Service Building (Physical Plant)", "longitude": -105.5777629, "repl_cost": 9809573.01, "gross_area": 81268.0, "shape_area": 4316.122726, "short_name": "Service Building", "year_built": 1954.0, "floor_count": 0, "usable_area": 73002.0, "shape_length": 353.7665985, "condition_key": 0, "bldg_additions": "1956, 1957", "percent_usable": 88.64, "years_remodeled": "1956, 1957", "percent_assignable": 83.1, "improvement_acquired": 0}
7|39|{"density": 2305.41, "category": "Laboratory/Office", "latitude": 41.315753, "zip_code": 82071.0, "long_name": "Science Initiative Building", "longitude": -105.584644, "gross_area": 169580.0, "shape_area": 3015.761795, "short_name": "Science Initiative", "year_built": 2021.0, "floor_count": 5, "usable_area": 136019.0, "shape_length": 279.0232396, "condition_key": 1, "percent_usable": 89.43, "percent_assignable": 44.46, "improvement_acquired": 0}
8|40|{"density": 39072.48, "category": "Office", "latitude": 41.31223399, "zip_code": 82071.0, "long_name": "Ross Hall", "longitude": -105.5811081, "repl_cost": 17465747.62, "gross_area": 90665.0, "shape_area": 1905.220795, "short_name": "Ross", "year_built": 1960.0, "floor_count": 6, "usable_area": 78144.96, "shape_length": 303.964708, "condition_key": 1, "percent_usable": 81.47, "percent_assignable": 55.69, "improvement_acquired": 0}
9|41|{"density": 0.0, "category": "Office/Special Use", "latitude": 41.31819021, "zip_code": 82071.0, "long_name": "Regulated Materials Mgmt Ctr", "longitude": -105.5705645, "repl_cost": 6306084.28, "gross_area": 19000.0, "shape_area": 1689.850143, "short_name": "Regulated Materials Mgmt ", "year_built": 1993.0, "floor_count": 1, "usable_area": 14858.0, "shape_length": 227.2317764, "condition_key": 0, "improvement_acquired": 0}
10|42|{"density": 1805.79, "category": "Classroom/Office/Laboratory", "latitude": 41.31361359, "zip_code": 82071.0, "long_name": "Physical Sciences", "longitude": -105.5836371, "repl_cost": 45101084.29, "gross_area": 179777.0, "shape_area": 3128.232819, "short_name": "Physical Sciences", "year_built": 1968.0, "floor_count": 6, "usable_area": 155298.0, "shape_length": 238.7262982, "condition_key": 1, "percent_usable": 72.48, "percent_assignable": 45.48, "improvement_acquired": 0}
